Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,1D Return,Return on Equity,PB Ratio,% Away From 52W High,5Y CAGR,5Y Avg EBITDA Margin,EBITDA Margin,ROCE,Return on Assets,Return on Investment,1Y Forward Revenue Growth,1Y Forward EBITDA Growth,1Y Fwd Op. Cash Flow Growth,1Y Forward EPS Growth,Forward PE Ratio,Sector PE,Sector PB,Mutual Fund Holding,Domestic Institutional Holding,FII Holding Change – 6M,DII Holding Change – 6M,Current Ratio,Debt to Equity,Days of Inventory Outstanding,Days of Sales Outstanding,Days Payable Outstanding,Price Momentum Rank,Fundamental Score,Value Momentum Rank,Earnings Quality Rank,Price to Intrinsic Value Rank,Percentage Upside,Percentage Buy Reco’s,No. of analysts with buy reco,Percentage Sell Reco's,Percentage Hold Reco's,Total no. of analysts,Alpha,Sharpe Ratio
Life Insurance Corporation Of India,LICI,Insurance,520009.685987715,822.15,10.761716362196085,1.7764298093587552,45.93116095254424,4.078390267288911,19.19965942954449,,4.132583450944898,6.354299254377202,1.002692419086092,0.8804231076114643,37.897210166359194,3.723602384227267,4.1160000000000005,,-4.085031958517901,11.220061412487205,18.002049382479555,2.4491896690739785,1.203911805184702,1.3434931997930224,0.08955269658207894,-0.030118082093513188,4.318584354463863,0,,0,,44,5.01428571428571,69,94,58.43,33.79553609438668,81.81818181818181,18,4.545454545454546,13.636363636363637,22,4.26817610965717,0.02120639676982
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,467945.05958544003,1729.6,26.908859090594596,0.546448087431686,25.213129965783217,6.71630415778623,1.3240055504162962,13.116096578468861,24.43944509884014,23.413920026769283,31.272484661372822,17.09208495916181,23.744881433593594,8.581311694830188,6.353000000000001,-9.76055773342837,0.650603043128232,26.81550387596899,28.608414612487323,7.51801412353116,9.07320919456599,18.41060817476793,-2.3491204236648358,2.198148625190555,2.2150932629551696,0.09007793549868673,24.897039897039896,78.41515392337293,1008.0169455169455,79,5.91410256410256,65,89,5.22,-0.41049953746530465,53.84615384615385,21,5.128205128205129,41.02564102564103,39,6.84082270735806,0.040172099073652
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,467736.7093398,14877,32.2572591646874,-2.41390619875369,15.945158209526376,4.860112171145231,16.757410768300062,14.412081002584465,12.557275340398263,16.07190836210346,19.540496268763423,11.72798091843382,15.254721163039601,12.269762566609609,2.697,10.999875008183977,10.494718493813938,29.19348508634223,40.25418353413138,5.69085541059402,14.439752328490796,22.914037275025617,0.5561035896608129,-0.4164482444727078,0.9657741940759882,0.0009039909642466377,20.3351912938675,12.84879766037359,68.38980549489892,92,6.7,73,72,40.04,23.193520198964844,86.48648648648648,32,2.7027027027027026,10.81081081081081,37,10.5730179265504,0.061224209496757
Mahindra and Mahindra Ltd,M&M,Four Wheelers,414067.07403696,3449.2,32.02597814518876,1.6413732134963848,14.972524720571585,4.444054330570988,11.327264293169437,35.148549350387626,19.085536064764874,21.013201493727742,15.166587099062076,5.0629396972871845,10.091797923901321,-13.540254180202963,-35.793,-341.542027216003,7.707630751436321,27.630613970474847,40.25418353413138,5.69085541059402,16.33766704360391,29.95122635801598,-1.0371848789085263,0.8346096802318499,1.401355771422713,1.3410424470451665,73.54133697770669,17.629646271704736,99.81679465975063,81,7.15,72,26,40.15,23.236127217905608,97.22222222222223,35,0,2.7777777777777777,36,17.4228231676606,0.134500361669326
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,410186.3854702,412.4,18.538668121525852,0.9053095179838485,15.394079141994343,2.604534119102022,11.634335596508262,3.6592921171767268,27.193797271779182,27.947083263613337,7.50500760493188,2.683754139990713,,-60.90951835864668,,-97.9780555845157,-37.10336297494487,29.457142857142856,18.002049382479555,2.4491896690739785,21.180093438254126,32.879618569133825,-2.979260536361714,3.266831672477686,,0,,,,73,,67,41,32.54,19.54413191076625,67.6470588235294,23,2.9411764705882355,29.41176470588235,34,-2.25958442370823,-0.034720079115412
Axis Bank Ltd,AXISBANK,Private Banks,409846.43208154,1319.8,14.608619680391206,0.3039975680194559,16.245299058540695,2.1815355273833648,3.7581451735111404,14.49748929013619,23.63164332964161,24.68343705741637,7.53516387648081,1.76603375079016,,-46.330371199112136,,-104.50071741435585,-12.806905965666308,16.682045124186313,18.002049382479555,2.4491896690739785,33.47616286097928,42.65144233982793,-1.235638422421701,1.438943027448886,,0,,,,89,4.67258064516129,84,24,19.37,12.895893317169271,95,38,0,5,40,4.0338915530157,0.039186923088977
ITC Ltd,ITC,FMCG - Tobacco,402376.201570815,321.15,11.580294306838248,0.7845598619174644,47.831412813357964,5.7157382953366955,46.81612953448546,10.443177876872323,39.78559857829382,46.92899915744832,56.99581056186903,38.65962804050609,49.22250888763382,-19.036483709412806,9.440999999999999,38.66490558744874,-39.267003218491254,19.56442278403899,34.20108944260628,8.380592278760377,16.164197020471065,48.87517239199538,-1.8652777702789507,1.982489412530903,3.062155934341232,0.004041879634546125,161.4251929647871,17.165639862825618,52.04723272640034,13,6.66666666666667,39,92,39.61,22.99548497586798,55.172413793103445,16,3.4482758620689653,41.37931034482759,29,-7.72531367796179,-0.102622592159762
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,386436.8902682,1610.6,35.35872229108868,-1.7267679541155763,15.65631695122816,5.331197152940675,14.93853222401591,23.335424542948925,23.378970156376425,30.256129244800892,18.96994231619452,12.332758938890105,14.91072456843952,5.082720297699513,10.537,-11.711753281691983,7.19879423144132,32.98425373586711,34.72945546774044,5.513608180334805,12.08724378322215,20.818512389706054,-1.133871941190435,1.32346485159594,2.890703141274065,0.03258824641189086,323.45334414339794,81.0159931634064,207.06857267491816,61,4.38285714285714,41,66,39.93,23.09077362473613,91.66666666666667,33,5.555555555555555,2.7777777777777777,36,8.99444055015891,0.051701471804527
UltraTech Cement Ltd,ULTRACEMCO,Cement,375525.588823,12767,62.18227335203364,1.413932798474859,9.001721460300363,5.081993684182179,2.5847889089057663,18.587505845230325,20.633818202483816,17.20174760395467,9.063823202582402,5.152183066637998,7.846938748436922,15.354638177923391,21.074,12.869509999504473,38.158770181160754,44.632057332634155,29.83691036050473,3.4186004405261543,14.673855927197515,17.449244486981403,-0.79147433192691,0.5989578408309022,0.7291682952278342,0.32617518001617474,101.69291084784749,24.194938219775146,122.52189774657037,66,5.23378378378378,37,33,19.26,12.814286833241951,87.17948717948718,34,5.128205128205129,7.6923076923076925,39,9.3808898620081,0.089064253636127
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",352618.2317552,3975.2,105.66923336985316,-0.545409056792599,31.755245753437695,30.335360612112872,8.475045280740613,22.346684903912674,10.994537463751627,10.142264082831499,36.95125235658497,9.244791666666666,13.240332088515787,12.767504061171906,22.893,80.08849557522123,42.96485795624812,74.1589354036347,40.25418353413138,5.69085541059402,8.23118824019514,15.002598598743644,-1.9939560670781393,2.2210907185126665,1.3350133757220952,1.7874225739848588,155.7460387721549,6.246738755886648,11.415111384126181,87,4.55294117647059,51,51,19.04,12.57295230428658,85.29411764705883,29,0,14.705882352941176,34,8.71001301322882,0.057895385247359
